TrialNumber;word;color;ran;order;is congruent;Stim timestamp;key pressed;key timestamp;delta T;is correct
1;red;yellow;1.0;0.0;0.0;5.533601;y;6.0944657;0.5608648;1.0
2;blue;green;1.0;1.0;0.0;7.1913843;g;7.550997;0.3596129;1.0
3;yellow;yellow;1.0;2.0;1.0;8.575448;y;8.975339;0.3998901;1.0
4;red;red;1.0;3.0;1.0;10.002946;r;10.462598;0.4596528;1.0
5;green;yellow;1.0;4.0;0.0;11.483526;y;11.983161;0.4996348;1.0
6;yellow;green;1.0;5.0;0.0;13.004057;y;13.679328;0.6752708;0.0
7;red;green;1.0;6.0;0.0;14.711198;g;15.663951;0.9527539;1.0
8;red;blue;1.0;7.0;0.0;16.685837;b;17.431366;0.7455298;1.0
9;blue;yellow;1.0;8.0;0.0;18.4593;y;19.15064;0.6913416;1.0
10;green;green;1.0;9.0;1.0;20.179804;g;20.984064;0.8042597;1.0
11;green;blue;1.0;10.0;0.0;22.007048;b;22.775225;0.7681753;1.0
12;yellow;red;1.0;11.0;0.0;23.807749;r;24.48724;0.679492;1.0
13;green;red;1.0;12.0;0.0;25.515062;r;26.1186;0.6035381;1.0
14;blue;blue;1.0;13.0;1.0;27.142332;b;27.6946;0.5522665;1.0
15;yellow;blue;1.0;14.0;0.0;28.716045;b;29.686459;0.9704138;1.0
16;blue;red;1.0;15.0;0.0;30.71684;r;31.479153;0.7623116;1.0
17;yellow;blue;1.0;16.0;0.0;32.50415;b;33.17439;0.6702402;1.0
18;yellow;green;1.0;17.0;0.0;34.198017;g;34.902546;0.7045297;1.0
19;green;blue;1.0;18.0;0.0;35.931995;b;36.710537;0.7785384;1.0
20;green;red;1.0;19.0;0.0;37.732727;r;38.422497;0.6897708;1.0
21;green;green;1.0;20.0;1.0;39.453194;g;40.07119;0.617996;1.0
22;yellow;red;1.0;21.0;0.0;41.09381;b;41.92652;0.8327095;0.0
23;blue;green;1.0;22.0;0.0;42.9477;g;43.689236;0.741535;1.0
24;red;yellow;1.0;23.0;0.0;44.708805;y;45.383892;0.6750874;1.0
25;red;green;1.0;24.0;0.0;46.416256;g;47.470165;1.0539091;1.0
26;red;blue;1.0;25.0;0.0;48.496685;b;49.903053;1.4063686;1.0
27;yellow;yellow;1.0;26.0;1.0;50.923992;y;51.495228;0.5712345;1.0
28;blue;blue;1.0;27.0;1.0;52.52447;b;53.094475;0.5700063;1.0
29;blue;yellow;1.0;28.0;0.0;54.12501;y;54.742493;0.6174798;1.0
30;red;red;1.0;29.0;1.0;55.765556;r;56.399235;0.6336779;1.0
31;blue;red;1.0;30.0;0.0;57.419407;r;57.998512;0.5791039;1.0
32;green;yellow;1.0;31.0;0.0;59.02006;y;60.142693;1.1226332;1.0
33;red;blue;1.0;32.0;0.0;61.167442;b;62.070457;0.9030161;1.0
